sample	samples	_primary_site	SLC25A11	SLC25A12	SLC25A13	SLC16A1	SLC16A4	SLC16A7	MPC1	MPC2	GPD1	GPD1L	GPD2	LDHA	LDHB	LDHC	LDHD
GTEX-TMKS-0005-SM-5SI7W	GTEX-TMKS-0005-SM-5SI7W	Blood															
GTEX-U3ZG-0001-SM-47JYF	GTEX-U3ZG-0001-SM-47JYF	Blood															
GTEX-U3ZH-0005-SM-3DB72	GTEX-U3ZH-0005-SM-3DB72	Blood															
GTEX-U8T8-0005-SM-3DB8F	GTEX-U8T8-0005-SM-3DB8F	Blood															
GTEX-U8XE-0005-SM-3DB8I	GTEX-U8XE-0005-SM-3DB8I	Blood															
GTEX-UJHI-0006-SM-3DB8H	GTEX-UJHI-0006-SM-3DB8H	Blood															
GTEX-UJMC-0005-SM-3GACU	GTEX-UJMC-0005-SM-3GACU	Blood															
GTEX-UPIC-0005-SM-3GACV	GTEX-UPIC-0005-SM-3GACV	Blood															
GTEX-UPJH-0006-SM-3GACW	GTEX-UPJH-0006-SM-3GACW	Blood															
GTEX-UPK5-0006-SM-3GAD8	GTEX-UPK5-0006-SM-3GAD8	Blood															
GTEX-V955-0004-SM-3NMDH	GTEX-V955-0004-SM-3NMDH	Blood															
GTEX-V955-0005-SM-3P5ZC	GTEX-V955-0005-SM-3P5ZC	Blood															
GTEX-VJWN-0005-SM-3GIKF	GTEX-VJWN-0005-SM-3GIKF	Blood															
GTEX-VUSG-0003-SM-5S2S5	GTEX-VUSG-0003-SM-5S2S5	Blood															
GTEX-VUSG-0006-SM-5S2TA	GTEX-VUSG-0006-SM-5S2TA	Blood															
GTEX-VUSH-0005-SM-3NB2H	GTEX-VUSH-0005-SM-3NB2H	Blood															
GTEX-W5X1-0006-SM-3GIJZ	GTEX-W5X1-0006-SM-3GIJZ	Blood															
GTEX-WCDI-0005-SM-3NB2M	GTEX-WCDI-0005-SM-3NB2M	Blood															
GTEX-WFON-0001-SM-5S2SE	GTEX-WFON-0001-SM-5S2SE	Blood															
GTEX-WFON-0005-SM-5S2RV	GTEX-WFON-0005-SM-5S2RV	Blood															
GTEX-WL46-0006-SM-4OOS5	GTEX-WL46-0006-SM-4OOS5	Blood															
GTEX-WY7C-0004-SM-4ONDS	GTEX-WY7C-0004-SM-4ONDS	Blood															
GTEX-WYJK-0005-SM-3NMA1	GTEX-WYJK-0005-SM-3NMA1	Blood															
GTEX-X15G-0001-SM-4PQZV	GTEX-X15G-0001-SM-4PQZV	Blood															
GTEX-X4EO-0006-SM-3P5ZF	GTEX-X4EO-0006-SM-3P5ZF	Blood															
GTEX-X4EP-0004-SM-4PQZX	GTEX-X4EP-0004-SM-4PQZX	Blood															
GTEX-X8HC-0006-SM-46MV6	GTEX-X8HC-0006-SM-46MV6	Blood															
GTEX-XLM4-0004-SM-5S2TF	GTEX-XLM4-0004-SM-5S2TF	Blood															
GTEX-XLM4-0005-SM-5S2RY	GTEX-XLM4-0005-SM-5S2RY	Blood															
GTEX-XMD3-0006-SM-4AT5X	GTEX-XMD3-0006-SM-4AT5X	Blood															
GTEX-XOT4-0005-SM-4B64S	GTEX-XOT4-0005-SM-4B64S	Blood															
GTEX-XPT6-0001-SM-4B64G	GTEX-XPT6-0001-SM-4B64G	Blood															
GTEX-XQ3S-0001-SM-4B64K	GTEX-XQ3S-0001-SM-4B64K	Blood															
GTEX-XUJ4-0004-SM-4BOQE	GTEX-XUJ4-0004-SM-4BOQE	Blood															
GTEX-XUYS-0002-SM-47JXL	GTEX-XUYS-0002-SM-47JXL	Blood															
GTEX-XUYS-0005-SM-47JZ2	GTEX-XUYS-0005-SM-47JZ2	Blood															
GTEX-XXEK-0004-SM-5S2TO	GTEX-XXEK-0004-SM-5S2TO	Blood															
GTEX-XXEK-0005-SM-5S2TG	GTEX-XXEK-0005-SM-5S2TG	Blood															
GTEX-Y8E4-0003-SM-4V6FY	GTEX-Y8E4-0003-SM-4V6FY	Blood															
GTEX-YB5K-0005-SM-4VDSP	GTEX-YB5K-0005-SM-4VDSP	Blood															
GTEX-YEC3-0005-SM-4W21J	GTEX-YEC3-0005-SM-4W21J	Blood															
GTEX-YEC4-0001-SM-4W1Y6	GTEX-YEC4-0001-SM-4W1Y6	Blood															
GTEX-YEC4-0002-SM-4W1Z6	GTEX-YEC4-0002-SM-4W1Z6	Blood															
GTEX-YFCO-0003-SM-4W21I	GTEX-YFCO-0003-SM-4W21I	Blood															
GTEX-ZAB4-0005-SM-4RGM8	GTEX-ZAB4-0005-SM-4RGM8	Blood															
GTEX-ZC5H-0004-SM-4WAXK	GTEX-ZC5H-0004-SM-4WAXK	Blood															
GTEX-ZE7O-0006-SM-51MTA	GTEX-ZE7O-0006-SM-51MTA	Blood															
GTEX-ZEX8-0005-SM-4WKGE	GTEX-ZEX8-0005-SM-4WKGE	Blood															
GTEX-ZLV1-0001-SM-4WWAO	GTEX-ZLV1-0001-SM-4WWAO	Blood															
GTEX-ZP4G-0003-SM-4WWED	GTEX-ZP4G-0003-SM-4WWED	Blood															
GTEX-ZPU1-0004-SM-4WWAV	GTEX-ZPU1-0004-SM-4WWAV	Blood															
GTEX-ZQG8-0005-SM-4YCEH	GTEX-ZQG8-0005-SM-4YCEH	Blood															
GTEX-ZT9W-0005-SM-4YCEG	GTEX-ZT9W-0005-SM-4YCEG	Blood															
GTEX-ZV7C-0005-SM-57WDL	GTEX-ZV7C-0005-SM-57WDL	Blood															
GTEX-ZVT2-0005-SM-57WBW	GTEX-ZVT2-0005-SM-57WBW	Blood															
GTEX-139TT-2726-SM-5IJFM	GTEX-139TT-2726-SM-5IJFM	Pituitary	11.69	11.16	9.61	9.037	7.106	8.655	10.49	11.63	7.364	10.45	9.488	11.53	12.74	3.216	10.28
GTEX-13OW7-3126-SM-5L3HB	GTEX-13OW7-3126-SM-5L3HB	Pituitary	11.54	11.41	9.719	8.561	7.065	8.711	10.52	11.38	7.017	10.57	9.495	11.08	12.25	0	10.4
GTEX-12126-1126-SM-5P9GP	GTEX-12126-1126-SM-5P9GP	Pituitary	11.4	11.25	9.649	9.069	7.497	8.829	10.53	11.52	7.109	10.54	10.11	11.61	12.64	3.072	10.22
GTEX-11GS4-3026-SM-5A5LG	GTEX-11GS4-3026-SM-5A5LG	Pituitary	11.38	11.16	9.837	8.818	7.009	9.036	10.47	11.18	6.936	10.26	9.697	11.74	12.38	5.411	10.09
GTEX-T6MN-2726-SM-4DM77	GTEX-T6MN-2726-SM-4DM77	Pituitary	11.33	11.15	9.794	9.131	6.713	8.53	10.25	11.41	7.774	10.41	9.733	11.44	12.52	5.423	9.992
GTEX-11TUW-3026-SM-5EGKM	GTEX-11TUW-3026-SM-5EGKM	Pituitary	11.31	11.49	10.06	9.72	7.708	9.144	10.81	11.29	6.99	10.34	9.7	12.98	12.73	1.816	10.31
GTEX-111FC-3026-SM-5GZYJ	GTEX-111FC-3026-SM-5GZYJ	Pituitary	11.25	9.817	10.13	10.61	8.887	7.346	11.39	10.63	11.98	10.29	9.743	12	13.84	2.617	9.542
GTEX-117YW-2826-SM-5H116	GTEX-117YW-2826-SM-5H116	Pituitary	11.24	11.04	9.708	8.67	7.299	9.099	10.2	11.01	6.476	10.41	9.712	10.97	12.04	2.376	9.867
GTEX-11DXY-3026-SM-5N9CB	GTEX-11DXY-3026-SM-5N9CB	Pituitary	11.23	11.13	9.956	9.307	7.372	8.922	10.23	11.31	7.788	10.55	9.981	11.44	12.57	3.642	9.842
GTEX-12ZZY-3126-SM-5DUX3	GTEX-12ZZY-3126-SM-5DUX3	Pituitary	11.21	11.1	9.611	9.007	7.436	8.675	10.14	11.05	7.474	10.13	9.633	10.98	12.47	2.816	10.02
GTEX-139UC-3026-SM-5IJE4	GTEX-139UC-3026-SM-5IJE4	Pituitary	11.19	11.1	9.979	9.42	7.54	8.458	10.41	11.77	8.644	10.57	9.957	12.59	12.77	3.418	9.627
GTEX-13112-3126-SM-5IFGP	GTEX-13112-3126-SM-5IFGP	Pituitary	11.17	11.19	9.628	8.824	6.792	9.292	10.31	10.91	7.131	10.27	9.89	11.22	12.01	5.738	10.17
GTEX-13OVH-3126-SM-5MR4Z	GTEX-13OVH-3126-SM-5MR4Z	Pituitary	11.13	11.15	9.711	8.523	7.579	9.151	10.5	10.96	6.653	10.23	9.743	12.6	12.49	5.219	10
GTEX-139T4-0826-SM-5N9GF	GTEX-139T4-0826-SM-5N9GF	Pituitary	11.13	10.65	9.309	8.703	6.874	9.086	10.09	10.98	5.484	10.15	9.76	11.13	11.8	1.724	10.31
GTEX-WVLH-3126-SM-3MJGA	GTEX-WVLH-3126-SM-3MJGA	Pituitary	11.12	11.01	10.03	9.323	7.656	8.398	10.08	11.04	7.147	10.12	9.877	11.79	12.27	4.891	10.11
GTEX-ZAB4-3126-SM-57WCJ	GTEX-ZAB4-3126-SM-57WCJ	Pituitary	11.1	11.12	9.639	8.586	7.845	8.375	10.36	10.91	6.552	10.3	9.79	12.32	12.4	3.344	9.738
GTEX-1192W-3026-SM-5GZZV	GTEX-1192W-3026-SM-5GZZV	Pituitary	11.1	10.99	9.737	9.24	6.947	8.822	10.12	11.25	8.045	10.31	10.04	11.58	12.22	1.267	9.751
GTEX-12WSD-3226-SM-5HL9G	GTEX-12WSD-3226-SM-5HL9G	Pituitary	11.09	11.36	9.785	9.08	6.815	8.806	10.38	11.05	7.324	10.23	9.671	11.78	12.19	2.099	10.7
GTEX-12ZZW-3026-SM-5LZW7	GTEX-12ZZW-3026-SM-5LZW7	Pituitary	11.07	11.07	9.474	8.689	7.106	8.467	9.815	10.72	6.704	10.13	9.751	11.63	12.14	1.26	10.31
GTEX-13OVJ-2626-SM-5IJFT	GTEX-13OVJ-2626-SM-5IJFT	Pituitary	11.06	11.25	9.682	9.08	7.231	9.063	10.12	11.22	6.729	10.06	9.474	13.13	12.57	5.496	9.411
GTEX-13JVG-3026-SM-5IJEV	GTEX-13JVG-3026-SM-5IJEV	Pituitary	11.06	10.96	9.513	8.905	6.907	8.805	10.08	10.83	6.803	10.43	9.617	11.92	12.2	2.797	9.759
GTEX-13OW6-3126-SM-5L3IA	GTEX-13OW6-3126-SM-5L3IA	Pituitary	11.05	10.99	9.849	9.045	7.589	8.679	9.877	10.94	7.214	10.25	9.639	11.56	12.46	2.823	10.28
GTEX-13VXU-3126-SM-5SIA4	GTEX-13VXU-3126-SM-5SIA4	Pituitary	11.04	11.15	9.837	9.338	7.613	8.79	10.2	11.39	7.293	10.56	9.862	11.66	12.61	3.1	9.743
GTEX-12WS9-3026-SM-5EGIE	GTEX-12WS9-3026-SM-5EGIE	Pituitary	11.04	11.06	9.562	9.026	6.936	9.758	9.995	11.04	5.979	10.15	9.521	12.44	12.57	1.251	9.548
GTEX-131YS-3226-SM-5IFGV	GTEX-131YS-3226-SM-5IFGV	Pituitary	11.03	11.15	9.863	9.059	7.404	9.138	9.949	11.32	7.823	10.7	9.793	11.68	12.58	2.746	9.631
GTEX-14753-2926-SM-5LU9J	GTEX-14753-2926-SM-5LU9J	Pituitary	11.03	10.96	9.665	8.703	7.659	9.158	10.33	11.4	6.173	10.29	9.839	11.89	12.33	2.134	10.48
GTEX-RNOR-2426-SM-48FDY	GTEX-RNOR-2426-SM-48FDY	Pituitary	11.02	11.08	9.638	8.798	7.121	8.913	9.659	11	6.798	10.06	9.687	11.17	12.22	3.497	9.51
GTEX-R55E-2726-SM-48FCX	GTEX-R55E-2726-SM-48FCX	Pituitary	11	11.11	9.868	8.581	6.707	9.164	9.893	11.11	7.922	10.08	9.731	11.34	12.4	5.91	9.553
GTEX-12584-3126-SM-5EGKR	GTEX-12584-3126-SM-5EGKR	Pituitary	10.99	10.89	9.477	10.47	6.831	9.215	10.2	10.77	6.449	10.11	10.11	13.6	12.18	5.271	9.128
GTEX-1313W-3226-SM-5LZUU	GTEX-1313W-3226-SM-5LZUU	Pituitary	10.99	10.83	9.591	9.445	7.998	7.998	10.03	11.38	7.854	10.71	10.39	12.18	12.93	1.831	9.902
GTEX-11NUK-3126-SM-5986M	GTEX-11NUK-3126-SM-5986M	Pituitary	10.98	10.9	9.794	9.478	8.843	7.39	9.93	10.73	7.496	9.942	10.22	11.63	12.83	5.501	10.02
GTEX-11ZUS-3026-SM-5EGI4	GTEX-11ZUS-3026-SM-5EGI4	Pituitary	10.97	11.08	9.577	9.199	7.619	9.318	10.32	11.21	7.662	10.67	9.897	11.34	12.61	6.258	10.16
GTEX-11ZVC-3226-SM-5FQV1	GTEX-11ZVC-3226-SM-5FQV1	Pituitary	10.97	11.07	9.861	9.038	7.263	9.608	10.16	10.99	8.568	10.09	10.24	11.58	12.3	5.949	9.417
GTEX-N7MT-1026-SM-3TW8T	GTEX-N7MT-1026-SM-3TW8T	Pituitary	10.96	11.41	9.762	8.832	8.096	8.613	9.83	11.17	6.03	10.15	9.83	12.39	12.47	3.7	9.983
GTEX-P44H-2626-SM-2XCET	GTEX-P44H-2626-SM-2XCET	Pituitary	10.96	11.31	8.275	11.41	6.477	8.259	10.93	11.33	8.313	11.5	10.65	13.45	14.7	0	9.9
GTEX-RU72-3126-SM-46MUB	GTEX-RU72-3126-SM-46MUB	Pituitary	10.96	10.96	9.441	9.269	7.451	9.002	10.25	11.18	7.038	10.17	9.994	11.5	12.23	2.765	9.792
GTEX-13FTY-2826-SM-5J2ML	GTEX-13FTY-2826-SM-5J2ML	Pituitary	10.95	10.99	9.59	9.154	7.291	9.007	10.09	11.11	7.614	10.45	9.763	11.32	12.22	2.833	9.799
GTEX-14BIL-2926-SM-5SIAF	GTEX-14BIL-2926-SM-5SIAF	Pituitary	10.94	11.12	9.834	9.274	7.465	9.215	10.48	11.6	6.894	10.54	9.744	12.8	12.73	5.783	9.464
GTEX-ZF28-3126-SM-4WKFC	GTEX-ZF28-3126-SM-4WKFC	Pituitary	10.93	10.81	9.472	8.784	7.729	9.151	10.22	11.11	5.238	10.17	9.411	12.07	12.46	5.158	9.754
GTEX-11DYG-3126-SM-5A5L6	GTEX-11DYG-3126-SM-5A5L6	Pituitary	10.92	10.92	9.866	9.352	7.217	8.059	10.02	11	7.637	10.01	9.41	11.48	12.39	2.515	10.2
GTEX-117XS-2926-SM-5N9BX	GTEX-117XS-2926-SM-5N9BX	Pituitary	10.92	10.85	9.551	9.089	7.872	9.738	10.57	11.26	6.775	10.42	10.13	11.76	12.51	3	9.301
GTEX-13OW5-2926-SM-5IJF2	GTEX-13OW5-2926-SM-5IJF2	Pituitary	10.9	10.99	9.647	9.449	7.585	9.197	10.53	11.31	6.015	10.42	9.837	13.64	12.62	3.383	8.8
GTEX-11WQK-3226-SM-5EGI3	GTEX-11WQK-3226-SM-5EGI3	Pituitary	10.9	10.58	9.086	9.549	6.23	9.353	9.915	11.09	6.565	10.46	9.389	12.58	11.91	2.816	9.609
GTEX-13SLW-2926-SM-5Q5BQ	GTEX-13SLW-2926-SM-5Q5BQ	Pituitary	10.87	11.13	9.994	9.107	6.376	8.812	10.07	10.96	6.471	9.662	9.281	12.74	11.97	1.937	9.729
GTEX-13IVO-3026-SM-5J2M2	GTEX-13IVO-3026-SM-5J2M2	Pituitary	10.87	9.761	9.011	10.54	10.57	8.296	9.871	10.28	4.284	8.694	10.88	14.51	13.81	2.232	8.021
GTEX-WZTO-3026-SM-3NMA2	GTEX-WZTO-3026-SM-3NMA2	Pituitary	10.85	11.2	9.852	9.106	6.864	9.576	10.36	11.36	7.601	10.72	9.822	11.3	12.4	1.533	9.84
GTEX-NPJ7-2926-SM-3MJGQ	GTEX-NPJ7-2926-SM-3MJGQ	Pituitary	10.85	11.07	9.714	8.878	7.45	8.127	10.54	10.97	5.813	9.93	9.306	12.37	12.3	1.781	9.632
GTEX-13PLJ-1726-SM-5L3FT	GTEX-13PLJ-1726-SM-5L3FT	Pituitary	10.85	10.95	9.828	8.725	6.735	8.966	9.822	10.9	7.321	10.22	9.68	11.47	12.03	3.14	9.563
GTEX-13OVL-3226-SM-5L3H8	GTEX-13OVL-3226-SM-5L3H8	Pituitary	10.85	10.94	9.807	9.202	7.335	8.766	9.63	10.95	7.335	10.08	9.927	11.05	12.09	3.417	9.935
GTEX-TSE9-3126-SM-4DXSY	GTEX-TSE9-3126-SM-4DXSY	Pituitary	10.83	10.99	9.709	9.064	6.947	8.377	10.18	11.31	6.721	9.928	9.64	11.82	12.38	2.454	9.654
GTEX-13G51-3226-SM-5IFG7	GTEX-13G51-3226-SM-5IFG7	Pituitary	10.83	10.91	9.898	9.375	7.934	8.824	10.02	11.23	7.458	10.63	10.1	11.83	12.56	6.095	9.215
GTEX-12WSC-3126-SM-5GCNB	GTEX-12WSC-3126-SM-5GCNB	Pituitary	10.83	10.69	9.552	9.509	9.38	7.876	10.11	10.84	7.352	10.03	10.65	12.06	13	1.201	9.459
GTEX-OXRN-2626-SM-48TBX	GTEX-OXRN-2626-SM-48TBX	Pituitary	10.83	10.67	9.488	8.631	7.6	8.893	9.836	10.86	5.806	10.03	9.491	12.05	12.19	2.945	9.055
GTEX-11DXW-1226-SM-5H133	GTEX-11DXW-1226-SM-5H133	Pituitary	10.82	11.13	9.886	8.805	7.684	9.201	10.09	11.13	6.754	10.69	10.3	12	12.59	1.722	9.156
GTEX-13SLX-3026-SM-5RQJU	GTEX-13SLX-3026-SM-5RQJU	Pituitary	10.82	11.13	9.575	9.048	7.255	8.478	10.15	11.11	7.489	10.15	10.25	11.88	12.17	0	9.518
GTEX-WL46-3026-SM-3LK7Z	GTEX-WL46-3026-SM-3LK7Z	Pituitary	10.82	10.89	9.658	8.285	7.454	8.783	9.602	10.72	7.29	10.37	9.347	11.29	12.29	2.514	9.718
GTEX-QVJO-1226-SM-4R1KA	GTEX-QVJO-1226-SM-4R1KA	Pituitary	10.82	10.5	9.74	9.121	9.769	6.936	10.52	10.66	5.772	9.39	10.41	12.91	13.39	2.336	9.07
GTEX-Q2AG-3026-SM-48U1L	GTEX-Q2AG-3026-SM-48U1L	Pituitary	10.8	10.92	9.505	9.104	6.809	9.076	9.9	10.9	6.705	9.844	9.908	11	11.67	1.206	9.586
GTEX-13CF2-3226-SM-5IFF6	GTEX-13CF2-3226-SM-5IFF6	Pituitary	10.8	10.87	9.75	9.142	8.587	8.972	10.28	10.99	7.172	9.798	10.56	11.5	12.45	5.52	9.214
GTEX-11ONC-2826-SM-5P9GQ	GTEX-11ONC-2826-SM-5P9GQ	Pituitary	10.8	10.69	9.804	9.379	8.975	8.001	10.26	10.79	7.59	9.833	10.6	12.6	12.77	2.212	9.949
GTEX-145MO-3126-SM-5S2RT	GTEX-145MO-3126-SM-5S2RT	Pituitary	10.79	10.87	9.695	9.434	7.215	9.001	10.06	11.02	5.459	10.33	9.829	11.37	12	1.951	9.889
GTEX-13NYS-2926-SM-5IFGH	GTEX-13NYS-2926-SM-5IFGH	Pituitary	10.78	10.96	9.594	8.748	7.394	9.472	10.1	11.15	4.91	9.982	9.618	12.46	12.21	1.295	9.326
GTEX-XLM4-3126-SM-4AT6M	GTEX-XLM4-3126-SM-4AT6M	Pituitary	10.77	10.89	9.642	8.762	7.427	7.8	10.19	11.45	6.563	10.01	9.701	12.11	12.43	3.173	9.16
GTEX-11EI6-3126-SM-5H111	GTEX-11EI6-3126-SM-5H111	Pituitary	10.77	10.63	9.661	9.317	9.664	7.493	10.08	10.46	6.462	9.825	10.66	12.71	12.65	1.954	9.543
GTEX-13FHP-3126-SM-5KLYX	GTEX-13FHP-3126-SM-5KLYX	Pituitary	10.77	10.62	9.791	10.06	9.336	8.303	10.11	11.01	7.483	10.55	10.97	12.04	12.75	1.563	9.569
GTEX-145MF-2626-SM-5O98S	GTEX-145MF-2626-SM-5O98S	Pituitary	10.76	11.1	9.854	9.678	7.922	9.328	10.08	11.24	6.647	10.77	10.19	11.7	12.7	2.773	9.569
GTEX-13RTJ-2926-SM-5Q5DE	GTEX-13RTJ-2926-SM-5Q5DE	Pituitary	10.75	11.17	9.644	8.948	7.188	9.03	10.31	11.09	6.374	10.68	9.817	12.19	12.81	2.725	9.563
GTEX-11NV4-2326-SM-5BC4X	GTEX-11NV4-2326-SM-5BC4X	Pituitary	10.75	10.93	9.891	10.22	7.756	8.943	10.27	11.14	7.706	10.34	10.28	11.55	12.42	3.08	9.488
GTEX-12WSM-2226-SM-5DUVS	GTEX-12WSM-2226-SM-5DUVS	Pituitary	10.75	10.67	9.568	9.815	9.432	8.127	10.45	10.95	5.772	9.251	11.05	13.11	13.21	2.477	9.156
GTEX-13NZA-3126-SM-5IJFU	GTEX-13NZA-3126-SM-5IJFU	Pituitary	10.75	10.12	9.649	9.345	9.407	8.628	10.1	10.1	4.786	9.28	11.12	13.77	13.26	2.612	8.708
GTEX-UTHO-3126-SM-3P5ZB	GTEX-UTHO-3126-SM-3P5ZB	Pituitary	10.74	10.95	9.847	8.987	7.482	8.648	10.24	11.23	6.329	10.04	9.355	12.54	12.22	2.122	9.536
GTEX-X585-3126-SM-4QASH	GTEX-X585-3126-SM-4QASH	Pituitary	10.74	10.77	9.736	8.512	9.069	7.901	10.43	10.85	5.386	9.895	9.897	12.13	12.42	5.22	9.313
GTEX-N7MS-2625-SM-3LK77	GTEX-N7MS-2625-SM-3LK77	Pituitary	10.74	10.63	9.541	9.277	8.202	7.573	10.04	11.04	7.507	10.08	9.975	11.69	12.71	5.658	9.406
GTEX-11OF3-3026-SM-5GU52	GTEX-11OF3-3026-SM-5GU52	Pituitary	10.74	10.61	9.825	9.793	9.833	8.156	10.06	10.55	6.936	10.09	10.44	11.76	12.79	1.842	9.352
GTEX-131XW-3226-SM-5LZUO	GTEX-131XW-3226-SM-5LZUO	Pituitary	10.74	10.38	9.239	8.98	7.028	8.373	9.756	10.71	6.069	9.262	9.31	11.83	11.42	1.249	8.823
GTEX-13X6K-3026-SM-5QGPA	GTEX-13X6K-3026-SM-5QGPA	Pituitary	10.73	11.01	9.562	9.12	8.191	8.629	10.27	11	6.635	10.2	10.32	12.13	12.91	2.335	9.349
GTEX-1192X-3026-SM-5N9BM	GTEX-1192X-3026-SM-5N9BM	Pituitary	10.72	10.98	9.513	8.975	7.997	8.965	10.27	11.18	7.701	10.04	9.753	12.36	12.27	2.961	9.227
GTEX-147GR-2926-SM-5RQIN	GTEX-147GR-2926-SM-5RQIN	Pituitary	10.72	10.63	9.557	9.522	8.265	8.964	9.826	10.72	7.731	10.12	10.02	11.81	12.48	4.582	8.992
GTEX-1477Z-2826-SM-5SI9J	GTEX-1477Z-2826-SM-5SI9J	Pituitary	10.71	10.93	9.769	8.824	7.332	8.668	9.935	10.75	6.168	9.957	9.797	11.75	11.77	1.785	9.369
GTEX-145MH-3126-SM-5S2QT	GTEX-145MH-3126-SM-5S2QT	Pituitary	10.71	10.85	9.849	9.881	8.227	9.006	10.26	11.2	7.3	10.53	10.19	11.89	12.75	5.339	9.153
GTEX-14BMV-3126-SM-5S2UV	GTEX-14BMV-3126-SM-5S2UV	Pituitary	10.69	11.04	9.789	9.368	7.037	9.081	10.02	10.99	7.335	10.14	10.03	10.93	11.97	5.35	10.2
GTEX-148VJ-2926-SM-5Q5DA	GTEX-148VJ-2926-SM-5Q5DA	Pituitary	10.69	10.79	9.864	9.123	6.398	8.813	10.79	11.32	6.508	9.964	9.304	12.37	12.08	2.445	9.823
GTEX-11ZTS-3326-SM-5LU9Y	GTEX-11ZTS-3326-SM-5LU9Y	Pituitary	10.69	10.65	9.547	9.116	8.068	8.537	9.811	10.74	7.578	10.08	10.14	11.97	12.08	2.077	9.198
GTEX-12WSB-3226-SM-59HJP	GTEX-12WSB-3226-SM-59HJP	Pituitary	10.66	11.11	9.851	8.836	7.436	9.42	10.05	11.13	6.603	10.39	10.09	12.07	12.2	3.392	8.979
GTEX-14BIM-3226-SM-5RQIQ	GTEX-14BIM-3226-SM-5RQIQ	Pituitary	10.66	10.74	9.611	9.147	8.236	9.113	10.06	11.43	5.766	10.55	9.807	13.02	12.56	2.323	9.144
GTEX-ZYY3-3226-SM-5SI9X	GTEX-ZYY3-3226-SM-5SI9X	Pituitary	10.65	10.91	9.733	9.325	6.908	9.017	10.37	10.89	5.555	10.17	9.74	13.39	11.95	2.339	9.381
GTEX-X261-3226-SM-3NMC3	GTEX-X261-3226-SM-3NMC3	Pituitary	10.65	10.84	9.618	9.056	8.686	8.618	9.976	11.04	5.485	9.6	9.871	12.86	12.57	2.801	9.582
GTEX-11EMC-3126-SM-5EGJP	GTEX-11EMC-3126-SM-5EGJP	Pituitary	10.64	11.08	9.928	9.327	8.216	9.268	9.973	11.04	8.017	10.45	10.24	12.48	12.43	3.313	9.591
GTEX-113JC-2826-SM-5EGIT	GTEX-113JC-2826-SM-5EGIT	Pituitary	10.64	10.76	9.491	9.667	6.656	8.597	9.934	11.13	7.114	10.28	9.924	12.53	12.1	2.916	9.396
GTEX-Y111-2926-SM-4TT25	GTEX-Y111-2926-SM-4TT25	Pituitary	10.64	10.66	9.41	9.707	9.948	8.039	10.13	10.86	7	9.993	10.53	12.12	13.13	2.009	9.034
GTEX-WHSE-3126-SM-3P5ZI	GTEX-WHSE-3126-SM-3P5ZI	Pituitary	10.62	10.84	9.431	9.766	8.011	8.77	10.05	11.46	6.471	9.915	9.496	13.83	12.7	1.014	8.842
GTEX-1128S-2626-SM-5H11Z	GTEX-1128S-2626-SM-5H11Z	Pituitary	10.62	10.43	9.448	10.77	9.698	9.367	9.69	11.23	6.056	10.58	10.44	14.05	13.31	0	8.366
GTEX-ZAJG-3226-SM-5HL9V	GTEX-ZAJG-3226-SM-5HL9V	Pituitary	10.59	10.67	9.087	9.18	8.62	9.853	10.09	10.74	6.299	9.587	9.9	13.23	12.51	1.844	8.332
GTEX-ZDXO-1426-SM-4WKHG	GTEX-ZDXO-1426-SM-4WKHG	Pituitary	10.59	10.24	9.555	9.344	9.182	7.387	10.12	10.62	6.056	9.223	10.5	12.46	12.71	5.042	8.892
GTEX-YFC4-3226-SM-5CVM2	GTEX-YFC4-3226-SM-5CVM2	Pituitary	10.57	10.73	9.59	9.915	8.826	8.965	10.34	10.99	6.714	10.13	10.35	11.97	12.84	2.237	9.075
GTEX-13X6J-3126-SM-5Q5EJ	GTEX-13X6J-3126-SM-5Q5EJ	Pituitary	10.57	10.61	9.408	9.846	11.28	6.699	10.48	10.83	6.405	10	11.15	12.45	13.87	1.007	9.076
GTEX-12696-3126-SM-5FQUX	GTEX-12696-3126-SM-5FQUX	Pituitary	10.51	10.98	10.08	9.453	7.299	9.37	10.93	10.93	6.886	9.897	9.845	13.48	12.45	5.275	9.835
GTEX-11GSO-2826-SM-5HL6Q	GTEX-11GSO-2826-SM-5HL6Q	Pituitary	10.5	10.47	9.325	9.071	9.325	8.375	10.62	10.17	6.007	9.58	10.51	13.48	12.94	2.411	8.412
GTEX-WWYW-3226-SM-3NB3B	GTEX-WWYW-3226-SM-3NB3B	Pituitary	10.5	10.11	8.976	9.743	8.479	9.191	9.755	10.51	5.624	9.957	10.03	13.44	12.1	6.292	8.659
GTEX-11O72-3026-SM-5986R	GTEX-11O72-3026-SM-5986R	Pituitary	10.44	10.81	9.478	9.466	8.43	9.017	10.2	11.23	5.793	10.17	10.22	13.65	12.55	1.951	8.61
GTEX-12WSH-2926-SM-5GCMR	GTEX-12WSH-2926-SM-5GCMR	Pituitary	10.44	9.941	8.967	9.912	9.637	7.778	10.41	10.5	5.826	9.417	10.65	13.96	13.23	2.968	8.056
GTEX-13N1W-3126-SM-5IFHB	GTEX-13N1W-3126-SM-5IFHB	Pituitary	10.43	10.5	9.631	9.476	8.002	9.01	10.13	11.3	6.263	9.793	9.586	12.74	12.44	1.784	9.374
