gene_name,pathway,use,comment
GYG2,Glycogen breakdown,TRUE,
PGM1,Glycogen breakdown,TRUE,
PHKA1,Glycogen breakdown,TRUE,
PHKA2,Glycogen breakdown,TRUE,
PHKB,Glycogen breakdown,TRUE,
PHKG1,Glycogen breakdown,TRUE,
PHKG2,Glycogen breakdown,TRUE,
PYGB,Glycogen breakdown,TRUE,
PYGL,Glycogen breakdown,TRUE,
PYGM,Glycogen breakdown,TRUE,
SLC2A2,Glycogen breakdown,FALSE,DW added (GLUT2) Liver + Pancreas
G6PC,Glycogen breakdown,TRUE,DW added (Liver glucose phosphorylase)
AKT2,Insulin receptor signaling,TRUE,
FGF1,Insulin receptor signaling,TRUE,
FGF10,Insulin receptor signaling,TRUE,
FGF16,Insulin receptor signaling,TRUE,
FGF17,Insulin receptor signaling,TRUE,
FGF18,Insulin receptor signaling,TRUE,
FGF19,Insulin receptor signaling,TRUE,
FGF2,Insulin receptor signaling,TRUE,
FGF20,Insulin receptor signaling,TRUE,
FGF22,Insulin receptor signaling,TRUE,
FGF23,Insulin receptor signaling,TRUE,
FGF3,Insulin receptor signaling,TRUE,
FGF4,Insulin receptor signaling,TRUE,
FGF5,Insulin receptor signaling,TRUE,
FGF6,Insulin receptor signaling,TRUE,
FGF7,Insulin receptor signaling,TRUE,
FGF8,Insulin receptor signaling,TRUE,
FGF9,Insulin receptor signaling,TRUE,
FGFR1,Insulin receptor signaling,TRUE,
FGFR2,Insulin receptor signaling,TRUE,
FGFR3,Insulin receptor signaling,TRUE,
FGFR4,Insulin receptor signaling,TRUE,
FLT3,Insulin receptor signaling,TRUE,
FLT3LG,Insulin receptor signaling,TRUE,
FRS2,Insulin receptor signaling,TRUE,
GAB1,Insulin receptor signaling,TRUE,
GAB2,Insulin receptor signaling,TRUE,
GRB10,Insulin receptor signaling,TRUE,
GRB2,Insulin receptor signaling,TRUE,
HRAS,Insulin receptor signaling,TRUE,
INSR,Insulin receptor signaling,TRUE,
IRS1,Insulin receptor signaling,TRUE,
IRS2,Insulin receptor signaling,TRUE,
KL,Insulin receptor signaling,TRUE,
KLB,Insulin receptor signaling,TRUE,
KRAS,Insulin receptor signaling,TRUE,
MAPK1,Insulin receptor signaling,TRUE,
MAPK3,Insulin receptor signaling,TRUE,
NRAS,Insulin receptor signaling,TRUE,
PDE3B,Insulin receptor signaling,TRUE,
PDPK1,Insulin receptor signaling,TRUE,
PIK3C3,Insulin receptor signaling,TRUE,
PIK3CA,Insulin receptor signaling,TRUE,
PIK3CB,Insulin receptor signaling,TRUE,
PIK3R1,Insulin receptor signaling,TRUE,
PIK3R2,Insulin receptor signaling,TRUE,
PIK3R4,Insulin receptor signaling,TRUE,
PTPN11,Insulin receptor signaling,TRUE,
SHC1,Insulin receptor signaling,TRUE,
SOS1,Insulin receptor signaling,TRUE,
THEM4,Insulin receptor signaling,TRUE,
TLR9,Insulin receptor signaling,TRUE,
TRIB3,Insulin receptor signaling,TRUE,
CLTRN,Insulin secretion,TRUE,
CPE,Insulin secretion,TRUE,
ERO1B,Insulin secretion,TRUE,
EXOC1,Insulin secretion,TRUE,
EXOC2,Insulin secretion,TRUE,
EXOC3,Insulin secretion,TRUE,
EXOC4,Insulin secretion,TRUE,
EXOC5,Insulin secretion,TRUE,
EXOC6,Insulin secretion,TRUE,
EXOC7,Insulin secretion,TRUE,
EXOC8,Insulin secretion,TRUE,
GCK,Insulin secretion,TRUE,DW revised (beta cell metabolism)
GCKR,Insulin secretion,TRUE,DW revised (beta cell metabolism)
INS,Insulin secretion,TRUE,DW revised
KIF5A,Insulin secretion,FALSE,
KIF5B,Insulin secretion,FALSE,
KIF5C,Insulin secretion,FALSE,
MYO5A,Insulin secretion,TRUE,
MYRIP,Insulin secretion,TRUE,
P4HB,Insulin secretion,TRUE,
PCSK1,Insulin secretion,TRUE,
PCSK2,Insulin secretion,TRUE,
RAB27A,Insulin secretion,TRUE,
SLC30A5,Insulin secretion,TRUE,
SLC30A8,Insulin secretion,TRUE,
STX1A,Insulin secretion,TRUE,
VAMP2,Insulin secretion,TRUE,
AACS,Ketone metabolism,TRUE,
ACAT1,Ketone metabolism,TRUE,
ACSS3,Ketone metabolism,TRUE,
BDH1,Ketone metabolism,TRUE,
BDH2,Ketone metabolism,TRUE,
HMGCL,Ketone metabolism,TRUE,
HMGCLL1,Ketone metabolism,TRUE,
HMGCS2,Ketone metabolism,TRUE,
OXCT1,Ketone metabolism,TRUE,
OXCT2,Ketone metabolism,TRUE,
AGMO,Triglyceride biosynthesis,TRUE,
DGAT1,Triglyceride biosynthesis,TRUE,
DGAT2,Triglyceride biosynthesis,TRUE,
GK,Triglyceride biosynthesis,TRUE,
GK2,Triglyceride biosynthesis,TRUE,
GK3,Triglyceride biosynthesis,TRUE,
GPAM,Triglyceride biosynthesis,TRUE,
GPAT2,Triglyceride biosynthesis,TRUE,
LPIN1,Triglyceride biosynthesis,TRUE,
LPIN2,Triglyceride biosynthesis,TRUE,
LPIN3,Triglyceride biosynthesis,TRUE,
MOGAT1,Triglyceride biosynthesis,TRUE,
MOGAT2,Triglyceride biosynthesis,TRUE,
MOGAT3,Triglyceride biosynthesis,TRUE,
ABHD5,Triglyceride catabolism,TRUE,
CAV1,Triglyceride catabolism,TRUE,
FABP1,Triglyceride catabolism,TRUE,
FABP12,Triglyceride catabolism,TRUE,
FABP2,Triglyceride catabolism,TRUE,
FABP3,Triglyceride catabolism,TRUE,
FABP4,Triglyceride catabolism,TRUE,
FABP5,Triglyceride catabolism,TRUE,
FABP6,Triglyceride catabolism,TRUE,
FABP7,Triglyceride catabolism,TRUE,
FABP9,Triglyceride catabolism,TRUE,
GPD2,Triglyceride catabolism,TRUE,
LIPE,Triglyceride catabolism,TRUE,
MGLL,Triglyceride catabolism,TRUE,
PLIN1,Triglyceride catabolism,TRUE,
PLIN3,Triglyceride catabolism,TRUE,
PNPLA4,Triglyceride catabolism,TRUE,
PNPLA5,Triglyceride catabolism,TRUE,
PPP1CA,Triglyceride catabolism,TRUE,
PPP1CB,Triglyceride catabolism,TRUE,
PPP1CC,Triglyceride catabolism,TRUE,
PRKACA,Triglyceride catabolism,TRUE,
PRKACB,Triglyceride catabolism,TRUE,
PRKACG,Triglyceride catabolism,TRUE,
PNPLA2,Triglyceride catabolism,TRUE,DW added (ATGL)
ATGL,Triglyceride catabolism,TRUE,DW added (ATGL)
